split_strategy,representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
random_stratified,combined,logistic_regression_balanced,2,26295,8765,not_cyberbullying,religion,56
random_stratified,combined,logistic_regression_balanced,2,26295,8765,other_cyberbullying,age,14
random_stratified,combined,logistic_regression_balanced,2,26295,8765,other_cyberbullying,ethnicity,5
random_stratified,combined,logistic_regression_balanced,2,26295,8765,other_cyberbullying,gender,37
random_stratified,combined,logistic_regression_balanced,2,26295,8765,other_cyberbullying,not_cyberbullying,194
random_stratified,combined,logistic_regression_balanced,2,26295,8765,other_cyberbullying,other_cyberbullying,955
random_stratified,combined,logistic_regression_balanced,2,26295,8765,other_cyberbullying,religion,4
random_stratified,combined,logistic_regression_balanced,2,26295,8765,religion,age,3
random_stratified,combined,logistic_regression_balanced,2,26295,8765,religion,ethnicity,3
random_stratified,combined,logistic_regression_balanced,2,26295,8765,religion,gender,5
random_stratified,combined,logistic_regression_balanced,2,26295,8765,religion,not_cyberbullying,40
random_stratified,combined,logistic_regression_balanced,2,26295,8765,religion,other_cyberbullying,21
random_stratified,combined,logistic_regression_balanced,2,26295,8765,religion,religion,1523
random_stratified,combined,logistic_regression_balanced,3,26295,8765,age,age,1556
random_stratified,combined,logistic_regression_balanced,3,26295,8765,age,ethnicity,1
random_stratified,combined,logistic_regression_balanced,3,26295,8765,age,gender,0
random_stratified,combined,logistic_regression_balanced,3,26295,8765,age,not_cyberbullying,22
random_stratified,combined,logistic_regression_balanced,3,26295,8765,age,other_cyberbullying,13
random_stratified,combined,logistic_regression_balanced,3,26295,8765,age,religion,0
random_stratified,combined,logistic_regression_balanced,3,26295,8765,ethnicity,age,1
random_stratified,combined,logistic_regression_balanced,3,26295,8765,ethnicity,ethnicity,1558
random_stratified,combined,logistic_regression_balanced,3,26295,8765,ethnicity,gender,0
random_stratified,combined,logistic_regression_balanced,3,26295,8765,ethnicity,not_cyberbullying,8
random_stratified,combined,logistic_regression_balanced,3,26295,8765,ethnicity,other_cyberbullying,14
random_stratified,combined,logistic_regression_balanced,3,26295,8765,ethnicity,religion,3
random_stratified,combined,logistic_regression_balanced,3,26295,8765,gender,age,3
random_stratified,combined,logistic_regression_balanced,3,26295,8765,gender,ethnicity,4
random_stratified,combined,logistic_regression_balanced,3,26295,8765,gender,gender,1276
random_stratified,combined,logistic_regression_balanced,3,26295,8765,gender,not_cyberbullying,129
random_stratified,combined,logistic_regression_balanced,3,26295,8765,gender,other_cyberbullying,100
random_stratified,combined,logistic_regression_balanced,3,26295,8765,gender,religion,10
random_stratified,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,age,32
random_stratified,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,ethnicity,7
random_stratified,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,gender,40
random_stratified,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,not_cyberbullying,846
random_stratified,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,other_cyberbullying,284
random_stratified,combined,logistic_regression_balanced,3,26295,8765,not_cyberbullying,religion,54
random_stratified,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,age,11
random_stratified,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,ethnicity,6
random_stratified,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,gender,47
random_stratified,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,not_cyberbullying,188
random_stratified,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,other_cyberbullying,953
random_stratified,combined,logistic_regression_balanced,3,26295,8765,other_cyberbullying,religion,4
random_stratified,combined,logistic_regression_balanced,3,26295,8765,religion,age,2
random_stratified,combined,logistic_regression_balanced,3,26295,8765,religion,ethnicity,0
random_stratified,combined,logistic_regression_balanced,3,26295,8765,religion,gender,6
random_stratified,combined,logistic_regression_balanced,3,26295,8765,religion,not_cyberbullying,47
random_stratified,combined,logistic_regression_balanced,3,26295,8765,religion,other_cyberbullying,21
random_stratified,combined,logistic_regression_balanced,3,26295,8765,religion,religion,1519
random_stratified,combined,logistic_regression_balanced,4,26295,8765,age,age,1564
random_stratified,combined,logistic_regression_balanced,4,26295,8765,age,ethnicity,0
random_stratified,combined,logistic_regression_balanced,4,26295,8765,age,gender,0
random_stratified,combined,logistic_regression_balanced,4,26295,8765,age,not_cyberbullying,16
random_stratified,combined,logistic_regression_balanced,4,26295,8765,age,other_cyberbullying,13
random_stratified,combined,logistic_regression_balanced,4,26295,8765,age,religion,0
random_stratified,combined,logistic_regression_balanced,4,26295,8765,ethnicity,age,1
random_stratified,combined,logistic_regression_balanced,4,26295,8765,ethnicity,ethnicity,1557
random_stratified,combined,logistic_regression_balanced,4,26295,8765,ethnicity,gender,2
random_stratified,combined,logistic_regression_balanced,4,26295,8765,ethnicity,not_cyberbullying,9
random_stratified,combined,logistic_regression_balanced,4,26295,8765,ethnicity,other_cyberbullying,12
random_stratified,combined,logistic_regression_balanced,4,26295,8765,ethnicity,religion,3
random_stratified,combined,logistic_regression_balanced,4,26295,8765,gender,age,2
random_stratified,combined,logistic_regression_balanced,4,26295,8765,gender,ethnicity,3
random_stratified,combined,logistic_regression_balanced,4,26295,8765,gender,gender,1302
random_stratified,combined,logistic_regression_balanced,4,26295,8765,gender,not_cyberbullying,100
random_stratified,combined,logistic_regression_balanced,4,26295,8765,gender,other_cyberbullying,112
random_stratified,combined,logistic_regression_balanced,4,26295,8765,gender,religion,4
