preprocessing,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
p2,logistic_regression,2,26295,8765,not_cyberbullying,0.6826241134751773,0.6096595407759303,0.644081974069427,1263
p2,logistic_regression,3,26295,8765,not_cyberbullying,0.6874451273046532,0.6199524940617577,0.6519567027477102,1263
p2,logistic_regression,4,26295,8765,not_cyberbullying,0.6600173460537727,0.6025336500395883,0.6299668874172185,1263
p2,logistic_regression,1,26295,8765,other_cyberbullying,0.6387912860154603,0.7518610421836228,0.6907294832826748,1209
p2,logistic_regression,2,26295,8765,other_cyberbullying,0.646600566572238,0.7551695616211745,0.6966806562380771,1209
p2,logistic_regression,3,26295,8765,other_cyberbullying,0.6666666666666666,0.7549668874172185,0.7080745341614907,1208
p2,logistic_regression,4,26295,8765,other_cyberbullying,0.6458646616541354,0.7110927152317881,0.6769109535066982,1208
p2,logistic_regression,1,26295,8765,religion,0.9503414028553694,0.9592731829573935,0.954786404739632,1596
p2,logistic_regression,2,26295,8765,religion,0.9443053817271589,0.9460815047021943,0.9451926088318197,1595
p2,logistic_regression,3,26295,8765,religion,0.9498762376237624,0.9623824451410659,0.9560884459669885,1595
p2,logistic_regression,4,26295,8765,religion,0.9341943419434194,0.9523510971786834,0.943185346165787,1595
