representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
combined,logistic_regression_unweighted,3,26295,8765,ethnicity,ethnicity,1561
combined,logistic_regression_unweighted,3,26295,8765,ethnicity,gender,1
combined,logistic_regression_unweighted,3,26295,8765,ethnicity,not_cyberbullying,7
combined,logistic_regression_unweighted,3,26295,8765,ethnicity,other_cyberbullying,12
combined,logistic_regression_unweighted,3,26295,8765,ethnicity,religion,0
combined,logistic_regression_unweighted,3,26295,8765,gender,age,1
combined,logistic_regression_unweighted,3,26295,8765,gender,ethnicity,5
combined,logistic_regression_unweighted,3,26295,8765,gender,gender,1333
combined,logistic_regression_unweighted,3,26295,8765,gender,not_cyberbullying,101
combined,logistic_regression_unweighted,3,26295,8765,gender,other_cyberbullying,76
combined,logistic_regression_unweighted,3,26295,8765,gender,religion,6
combined,logistic_regression_unweighted,3,26295,8765,not_cyberbullying,age,27
combined,logistic_regression_unweighted,3,26295,8765,not_cyberbullying,ethnicity,10
combined,logistic_regression_unweighted,3,26295,8765,not_cyberbullying,gender,66
combined,logistic_regression_unweighted,3,26295,8765,not_cyberbullying,not_cyberbullying,837
