representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
combined,linear_svm,2,26295,8765,not_cyberbullying,gender,71
combined,linear_svm,2,26295,8765,not_cyberbullying,not_cyberbullying,813
combined,linear_svm,2,26295,8765,not_cyberbullying,other_cyberbullying,262
combined,linear_svm,2,26295,8765,not_cyberbullying,religion,55
combined,linear_svm,2,26295,8765,other_cyberbullying,age,15
combined,linear_svm,2,26295,8765,other_cyberbullying,ethnicity,18
combined,linear_svm,2,26295,8765,other_cyberbullying,gender,64
combined,linear_svm,2,26295,8765,other_cyberbullying,not_cyberbullying,195
combined,linear_svm,2,26295,8765,other_cyberbullying,other_cyberbullying,913
combined,linear_svm,2,26295,8765,other_cyberbullying,religion,4
combined,linear_svm,2,26295,8765,religion,age,0
combined,linear_svm,2,26295,8765,religion,ethnicity,0
combined,linear_svm,2,26295,8765,religion,gender,3
combined,linear_svm,2,26295,8765,religion,not_cyberbullying,51
combined,linear_svm,2,26295,8765,religion,other_cyberbullying,23
combined,linear_svm,2,26295,8765,religion,religion,1518
combined,linear_svm,3,26295,8765,age,age,1564
combined,linear_svm,3,26295,8765,age,ethnicity,2
combined,linear_svm,3,26295,8765,age,gender,2
combined,linear_svm,3,26295,8765,age,not_cyberbullying,15
combined,linear_svm,3,26295,8765,age,other_cyberbullying,9
combined,linear_svm,3,26295,8765,age,religion,1
combined,linear_svm,3,26295,8765,ethnicity,age,2
combined,linear_svm,3,26295,8765,ethnicity,ethnicity,1564
combined,linear_svm,3,26295,8765,ethnicity,gender,2
combined,linear_svm,3,26295,8765,ethnicity,not_cyberbullying,10
combined,linear_svm,3,26295,8765,ethnicity,other_cyberbullying,6
combined,linear_svm,3,26295,8765,ethnicity,religion,0
combined,linear_svm,3,26295,8765,gender,age,1
combined,linear_svm,3,26295,8765,gender,ethnicity,9
combined,linear_svm,3,26295,8765,gender,gender,1346
combined,linear_svm,3,26295,8765,gender,not_cyberbullying,87
combined,linear_svm,3,26295,8765,gender,other_cyberbullying,73
combined,linear_svm,3,26295,8765,gender,religion,6
combined,linear_svm,3,26295,8765,not_cyberbullying,age,32
combined,linear_svm,3,26295,8765,not_cyberbullying,ethnicity,15
combined,linear_svm,3,26295,8765,not_cyberbullying,gender,77
combined,linear_svm,3,26295,8765,not_cyberbullying,not_cyberbullying,815
combined,linear_svm,3,26295,8765,not_cyberbullying,other_cyberbullying,269
combined,linear_svm,3,26295,8765,not_cyberbullying,religion,55
combined,linear_svm,3,26295,8765,other_cyberbullying,age,27
combined,linear_svm,3,26295,8765,other_cyberbullying,ethnicity,4
combined,linear_svm,3,26295,8765,other_cyberbullying,gender,69
combined,linear_svm,3,26295,8765,other_cyberbullying,not_cyberbullying,209
combined,linear_svm,3,26295,8765,other_cyberbullying,other_cyberbullying,891
combined,linear_svm,3,26295,8765,other_cyberbullying,religion,8
combined,linear_svm,3,26295,8765,religion,age,0
combined,linear_svm,3,26295,8765,religion,ethnicity,2
combined,linear_svm,3,26295,8765,religion,gender,8
combined,linear_svm,3,26295,8765,religion,not_cyberbullying,34
combined,linear_svm,3,26295,8765,religion,other_cyberbullying,8
combined,linear_svm,3,26295,8765,religion,religion,1543
combined,linear_svm,4,26295,8765,age,age,1571
combined,linear_svm,4,26295,8765,age,ethnicity,0
combined,linear_svm,4,26295,8765,age,gender,2
combined,linear_svm,4,26295,8765,age,not_cyberbullying,10
combined,linear_svm,4,26295,8765,age,other_cyberbullying,8
combined,linear_svm,4,26295,8765,age,religion,1
combined,linear_svm,4,26295,8765,ethnicity,age,2
combined,linear_svm,4,26295,8765,ethnicity,ethnicity,1563
combined,linear_svm,4,26295,8765,ethnicity,gender,0
combined,linear_svm,4,26295,8765,ethnicity,not_cyberbullying,5
combined,linear_svm,4,26295,8765,ethnicity,other_cyberbullying,10
combined,linear_svm,4,26295,8765,ethnicity,religion,4
combined,linear_svm,4,26295,8765,gender,age,4
combined,linear_svm,4,26295,8765,gender,ethnicity,3
combined,linear_svm,4,26295,8765,gender,gender,1328
combined,linear_svm,4,26295,8765,gender,not_cyberbullying,101
combined,linear_svm,4,26295,8765,gender,other_cyberbullying,81
combined,linear_svm,4,26295,8765,gender,religion,6
combined,linear_svm,4,26295,8765,not_cyberbullying,age,47
combined,linear_svm,4,26295,8765,not_cyberbullying,ethnicity,13
combined,linear_svm,4,26295,8765,not_cyberbullying,gender,56
combined,linear_svm,4,26295,8765,not_cyberbullying,not_cyberbullying,786
combined,linear_svm,4,26295,8765,not_cyberbullying,other_cyberbullying,289
combined,linear_svm,4,26295,8765,not_cyberbullying,religion,72
combined,linear_svm,4,26295,8765,other_cyberbullying,age,15
combined,linear_svm,4,26295,8765,other_cyberbullying,ethnicity,9
combined,linear_svm,4,26295,8765,other_cyberbullying,gender,55
combined,linear_svm,4,26295,8765,other_cyberbullying,not_cyberbullying,216
combined,linear_svm,4,26295,8765,other_cyberbullying,other_cyberbullying,906
combined,linear_svm,4,26295,8765,other_cyberbullying,religion,7
combined,linear_svm,4,26295,8765,religion,age,2
combined,linear_svm,4,26295,8765,religion,ethnicity,2
combined,linear_svm,4,26295,8765,religion,gender,8
combined,linear_svm,4,26295,8765,religion,not_cyberbullying,34
combined,linear_svm,4,26295,8765,religion,other_cyberbullying,18
combined,linear_svm,4,26295,8765,religion,religion,1531
combined,logistic_regression,1,26295,8765,age,age,1548
combined,logistic_regression,1,26295,8765,age,ethnicity,0
combined,logistic_regression,1,26295,8765,age,gender,2
combined,logistic_regression,1,26295,8765,age,not_cyberbullying,27
combined,logistic_regression,1,26295,8765,age,other_cyberbullying,14
combined,logistic_regression,1,26295,8765,age,religion,1
combined,logistic_regression,1,26295,8765,ethnicity,age,1
combined,logistic_regression,1,26295,8765,ethnicity,ethnicity,1550
combined,logistic_regression,1,26295,8765,ethnicity,gender,1
combined,logistic_regression,1,26295,8765,ethnicity,not_cyberbullying,8
combined,logistic_regression,1,26295,8765,ethnicity,other_cyberbullying,21
combined,logistic_regression,1,26295,8765,ethnicity,religion,3
combined,logistic_regression,1,26295,8765,gender,age,2
combined,logistic_regression,1,26295,8765,gender,ethnicity,1
combined,logistic_regression,1,26295,8765,gender,gender,1296
combined,logistic_regression,1,26295,8765,gender,not_cyberbullying,129
combined,logistic_regression,1,26295,8765,gender,other_cyberbullying,90
combined,logistic_regression,1,26295,8765,gender,religion,4
combined,logistic_regression,1,26295,8765,not_cyberbullying,age,36
combined,logistic_regression,1,26295,8765,not_cyberbullying,ethnicity,11
combined,logistic_regression,1,26295,8765,not_cyberbullying,gender,52
combined,logistic_regression,1,26295,8765,not_cyberbullying,not_cyberbullying,855
combined,logistic_regression,1,26295,8765,not_cyberbullying,other_cyberbullying,250
combined,logistic_regression,1,26295,8765,not_cyberbullying,religion,58
combined,logistic_regression,1,26295,8765,other_cyberbullying,age,14
combined,logistic_regression,1,26295,8765,other_cyberbullying,ethnicity,5
combined,logistic_regression,1,26295,8765,other_cyberbullying,gender,46
combined,logistic_regression,1,26295,8765,other_cyberbullying,not_cyberbullying,189
combined,logistic_regression,1,26295,8765,other_cyberbullying,other_cyberbullying,951
combined,logistic_regression,1,26295,8765,other_cyberbullying,religion,4
combined,logistic_regression,1,26295,8765,religion,age,1
combined,logistic_regression,1,26295,8765,religion,ethnicity,0
combined,logistic_regression,1,26295,8765,religion,gender,2
combined,logistic_regression,1,26295,8765,religion,not_cyberbullying,39
combined,logistic_regression,1,26295,8765,religion,other_cyberbullying,19
combined,logistic_regression,1,26295,8765,religion,religion,1535
