representation,model,validation_fold,train_rows,validation_rows,label,precision,recall,f1,support
character,logistic_regression,2,26295,8765,other_cyberbullying,0.6910153396639883,0.782464846980976,0.7339022498060512,1209
character,logistic_regression,3,26295,8765,other_cyberbullying,0.7018489984591679,0.7541390728476821,0.7270550678371908,1208
character,logistic_regression,4,26295,8765,other_cyberbullying,0.6824127906976745,0.777317880794702,0.7267801857585139,1208
character,logistic_regression,1,26295,8765,religion,0.9539800995024875,0.9611528822055138,0.9575530586766542,1596
character,logistic_regression,2,26295,8765,religion,0.952561669829222,0.9442006269592477,0.9483627204030227,1595
character,logistic_regression,3,26295,8765,religion,0.9594510293200249,0.9642633228840125,0.9618511569731082,1595
character,logistic_regression,4,26295,8765,religion,0.9502177971375233,0.9573667711598746,0.9537788881948782,1595
combined,linear_svm,1,26295,8765,age,0.9599507085643869,0.9786432160804021,0.9692068429237947,1592
combined,linear_svm,2,26295,8765,age,0.9575906576521205,0.9786432160804021,0.9680024852438646,1592
combined,linear_svm,3,26295,8765,age,0.9618696186961869,0.9817953546767106,0.9717303510406958,1593
combined,linear_svm,4,26295,8765,age,0.9573430834856794,0.9868090452261307,0.9718527683266316,1592
combined,linear_svm,1,26295,8765,ethnicity,0.9798994974874372,0.9848484848484849,0.982367758186398,1584
combined,linear_svm,2,26295,8765,ethnicity,0.975609756097561,0.9848484848484849,0.9802073515551367,1584
combined,linear_svm,3,26295,8765,ethnicity,0.9799498746867168,0.9873737373737373,0.9836477987421384,1584
combined,linear_svm,4,26295,8765,ethnicity,0.9830188679245283,0.9867424242424242,0.9848771266540642,1584
combined,linear_svm,1,26295,8765,gender,0.9171348314606742,0.8580814717477004,0.8866259334691107,1522
combined,linear_svm,2,26295,8765,gender,0.903728813559322,0.8758212877792378,0.8895562228895563,1522
combined,linear_svm,3,26295,8765,gender,0.8949468085106383,0.8843626806833115,0.8896232650363516,1522
combined,linear_svm,4,26295,8765,gender,0.9164941338854382,0.8719632304661852,0.8936742934051144,1523
combined,linear_svm,1,26295,8765,not_cyberbullying,0.6967213114754098,0.6735340729001584,0.684931506849315,1262
combined,linear_svm,2,26295,8765,not_cyberbullying,0.6913265306122449,0.6437054631828979,0.6666666666666666,1263
